,Open,High,Low,Close,Adj Close,Volume,MA5,MA10,MA15,STD5,STD10,Prev_Return,Date,DayOfWeek,Month,Year,Day,Target
0,166.11000061035156,172.91900634765625,156.45399475097656,158.60699462890625,158.60699462890625,109392000,146.30780029296875,135.30699920654297,129.75399932861328,15.429907031002745,15.772033716488934,-0.0442482823402891,1970-01-01 00:00:00.000000000,3,1,1970,1,1
1,158.61900329589844,162.94200134277344,156.76100158691406,160.02699279785156,160.02699279785156,69178000,152.41739807128906,139.07439880371095,132.37046559651694,12.948938702048753,16.79997465680244,0.008952935349841873,1970-01-01 00:00:00.000000001,3,1,1970,1,1
2,159.9949951171875,170.10400390625,159.9949951171875,168.44200134277344,168.44200134277344,64076700,158.95279846191406,143.78119888305665,136.5608657836914,10.447826219660703,17.85050465169521,0.05258493206550363,1970-01-01 00:00:00.000000002,3,1,1970,1,0
3,168.57200622558594,168.72000122070312,159.76300048828125,163.37399291992188,163.37399291992188,61100400,163.27999572753907,148.08809814453124,139.47806549072266,4.068261646293862,16.71664676934593,-0.03008755763082127,1970-01-01 00:00:00.000000003,3,1,1970,1,1
4,162.91600036621094,173.39199829101562,159.947998046875,173.39199829101562,173.39199829101562,81489696,164.76839599609374,152.7572982788086,142.78046518961588,6.128825821861287,16.59932630427093,0.06131946212518713,1970-01-01 00:00:00.000000004,3,1,1970,1,1
5,175.34800720214844,203.2100067138672,173.17300415039062,203.2100067138672,203.2100067138672,179179008,173.68899841308593,159.99839935302734,148.1009989420573,17.26382673524235,21.13136690207816,0.1719687685518565,1970-01-01 00:00:00.000000005,3,1,1970,1,0
6,203.91299438476562,214.27499389648438,165.33099365234375,168.14999389648438,168.14999389648438,178828000,175.3135986328125,163.8654983520508,151.1541320800781,15.992126175187225,18.270445025395105,-0.1725309367601644,1970-01-01 00:00:00.000000006,3,1,1970,1,1
7,170.48599243164062,195.3939971923828,156.531005859375,180.13800048828125,180.13800048828125,128112000,177.65279846191407,168.30279846191405,155.0717320760091,15.585964223915276,15.925320209659082,0.07129352974688108,1970-01-01 00:00:00.000000007,3,1,1970,1,1
8,179.7220001220703,191.8489990234375,169.76300048828125,190.93800354003906,190.93800354003906,70430496,183.1656005859375,173.2227981567383,159.78059895833334,14.074325677677175,14.326133020451396,0.05995405201836013,1970-01-01 00:00:00.000000008,3,1,1970,1,1
9,190.83399963378906,205.26400756835938,186.6840057373047,203.03399658203125,203.03399658203125,80791104,189.09400024414063,176.9311981201172,164.8695322672526,15.131480580454358,16.817432744780735,0.0633503693226567,1970-01-01 00:00:00.000000009,3,1,1970,1,0
10,203.36500549316406,209.08599853515625,191.2480010986328,200.05099487304688,200.05099487304688,111303000,188.46219787597656,181.07559814453126,169.48633219401043,14.445111973511136,16.906351369999136,-0.014692129196103187,1970-01-01 00:00:00.000000010,3,1,1970,1,1
11,199.56199645996094,210.24200439453125,192.04200744628906,210.24200439453125,210.24200439453125,74534400,196.88059997558594,186.09709930419922,174.8705322265625,11.641218918531907,17.40977751260972,0.050942058688344005,1970-01-01 00:00:00.000000011,3,1,1970,1,1
12,211.1280059814453,272.64300537109375,208.8939971923828,269.4840087890625,269.4840087890625,352326016,214.7498016357422,196.20130004882813,183.7851328531901,31.370648724263727,30.456943451879326,0.28178005896176783,1970-01-01 00:00:00.000000012,3,1,1970,1,1
13,268.16400146484375,316.6679992675781,260.6109924316406,278.68499755859375,278.68499755859375,543884032,232.29920043945313,207.7324005126953,192.91493225097656,38.46189985820067,37.63109547870655,0.034142986112149165,1970-01-01 00:00:00.000000013,3,1,1970,1,1
